Index,Subject Number,Subject Name,Group Assignments,Assignment Types,Keywords,Handbook Link
116,49134,Structural Dynamics and Earthquake Engineering,1,"Quiz/test,project","Structural Dynamics,Single Degree of Freedom (SDOF) Systems,Dynamic Equation of Motion,Damped and Undamped Systems,Vibration Tests,Damping,Harmonic Loading,Dynamic Magnification Factor,Resonant Response,Vibration Isolation,Impulsive Loads,Duhamel Integral,Non-Linear Structural Response,Multi Degree of Freedom (MDOF) Systems,Earthquake Engineering",https://handbook.uts.edu.au/subjects/details/48540.html
117,41152,Summer Studio C,0,Portfolio,"Design Thinking,Design Portfolio,Systems Thinking",https://handbook.uts.edu.au/subjects/details/41152.html
118,41153,Summer Studio D,0,Portfolio,"Design Thinking,Design Portfolio,Systems Thinking",https://handbook.uts.edu.au/subjects/details/41153.html
119,41154,Summer Studio E,0,Portfolio,"Design Thinking,Design Portfolio,Systems Thinking",https://handbook.uts.edu.au/subjects/41154.html
120,41155,Summer Studio F,0,Portfolio,"Design Thinking,Design Portfolio,Systems Thinking",https://handbook.uts.edu.au/subjects/41155.html
121,41182,System Security,1,"Report,project,mid-session examination","System Security,Cyberspace,OS Security,Network Security,Database Security,Identity and Access Management,Implementation Security,Web Security",https://handbook.uts.edu.au/subjects/details/41182.html
122,49016,Technology and Innovation Management,1,"Report,Project,Presentation","Technological Change,Innovation,Design Innovation,Customer Focus",https://handbook.uts.edu.au/subjects/details/49016.html
123,49215,Telecommunications Industry Management,0,"Quiz/test,Project,Examination","NBN,Network Architecure,ADSL,ADSL2+,VDSL2,G.Fast,Satellite Broadband,Fixed Wireless Broadband,Exchange-based DSL,Capital Expenditure (Capex),Operational Expenditure (Opex),Telecommunication Markets,Accounting,Telecommunication",https://handbook.uts.edu.au/subjects/details/49215.html
124,41027,The Enterprising Professional,1,Portfolio,"Innovation,Entrepreneurship,Leadership,Communication,Design-Thinking,Career Management,Project Management",https://handbook.uts.edu.au/subjects/details/41027.html
125,48651,Thermodynamics,1,"Quiz/test,laboratory/practical,examination","Physical Science,Thermodynamic Properties,Pure Substances,Laws of Thermodynamics,Thermodynamic Power Cycles for Engines and Refrigerators",https://handbook.uts.edu.au/subjects/details/48651.html
126,49102,Traffic and Transportation,0,Project,"Traffic Engineering,Transport Planning,Traffic Flow Theory,Traffic Studies,Traffic Management,Transport Infrastructure Design and Modelling,Transport Modelling,Signalised Intersection Analysis and Design,Travel Data Collection and Analysis",https://handbook.uts.edu.au/subjects/details/49102.html
127,49205,Transmission Systems,1,"Quiz/test,Laboratory/practical,Project,Examination","Information Transmission,Ethernet,ADSL,3G Technologies,Telecommunication Technologies,Telecommunication",https://handbook.uts.edu.au/subjects/details/49205.html
128,49328,Turbomachines,1,"Exercises,Report,Examination","Turbomachines,Similitude,Pumps,Compressors,Turbines,Fans",https://handbook.uts.edu.au/subjects/details/49328.html
129,49107,Urban Stormwater Design,0,Report,"Hydraulics,Hydrology,Urban Stormwater Systems,Urban Drainage,Urban Design,Pollution",https://handbook.uts.edu.au/subjects/details/49107.html
130,49123,Waste and Pollution Management,0,"Exercises,Report,Case Study","Waste management,recycling,waste minimalisation,pollution control,clean technology,Waste auditing,institutional barriers,sewerage,sludge,harzardous waste",https://handbook.uts.edu.au/subjects/details/49123.html
131,48840,Water Supply and Wastewater Engineering,1,"Exercises,Laboratory/Practical,Report","Sewerage Systems,Water Supply Systems,Water Cycle Management,Portable Water Treatment,Retriculation Systems,Quality Water Standards,Water Reuse Practices",https://handbook.uts.edu.au/subjects/details/48840.html
132,48881,Water and Environmental Design,0,"Report,Presentation","Site Conditions,Nutrient Fate and Rransport Processes,Cultural Impact Assessment of Land Development Projects,Land-based Effluent Treatment Sites",https://handbook.uts.edu.au/subjects/details/48881.html
133,49048,Wireless Access Network Technologies,1,"Quiz/test,Examination,Presentation","Infrastructure WLAN,ad-hoc WLAN networks,Wireless Networks,WLAN",https://handbook.uts.edu.au/subjects/details/49048.html
134,49227,Wireless Sensor Networks,1,"Report,Demonstration,Quiz/test","Wireless Sensor Networks, Wireless Sensor Network Theory,Basic Sensor Networks",https://handbook.uts.edu.au/subjects/details/49227.html
